outlet,date,headline,url
NDTV,01/01/24,Robbers Shot In Leg As They Open Fire At Cops In UP's Amethi,https://www.ndtv.com/india-news/robbers-shot-in-leg-as-they-open-fire-at-cops-in-ups-amethi-4779043
NDTV,01/01/24,"MP-CG News Updates: सीएम मोहन यादव खरगोन दौरे पर, एमपी-छत्तीसगढ़ में दिखा ड्राइवरों की हड़ताल का असर",https://mpcg.ndtv.in/madhya-pradesh-news/madhya-pradesh-chhattisgarh-news-live-updates-cm-mohan-yadav-visit-to-khargone-in-the-new-year-4779045
NDTV,01/01/24,Chief Justice Roberts Says AI Will Transform How The Courts Work,https://www.ndtvprofit.com/law-policy/ai-and-the-supreme-court-justice-roberts-says-it-will-transform-judges-work
NDTV,01/01/24,Russia Launches New Strikes On Ukraine As It Mourns 24 Dead,https://www.ndtvprofit.com/politics/russia-mourns-24-deaths-launches-new-missile-strikes-on-ukraine
NDTV,01/01/24,"50MP कैमरा वाले OnePlus Ace 3 की कीमत और स्पेसिफिकेशंस का खुलासा, जानें सबकुछ",https://hindi.gadgets360.com/mobiles/oneplus-ace-3-price-specifications-features-to-all-details-ahead-of-launch-news-4779075
NDTV,01/01/24,Indian Cricket Team 2024 Schedule: Check Full List Of Matches Here,https://www.ndtvprofit.com/sports/indian-cricket-team-2024-schedule-check-full-list-of-matches-here-npc
NDTV,01/01/24,"BHEL Shares Rise After Winning Bid For Power Project Worth Rs 19,000 Crore",https://www.ndtvprofit.com/buzzing-stocks/bhel-shares-rise-after-winning-bid-for-power-project-worth-rs-19000-crore
NDTV,01/01/24,"नए साल के दिन ISRO की नई उड़ान, अंतरिक्ष के राज खोलेने वाला उपग्रह XPoSAT लॉन्च, जानें इसकी खासियत",https://ndtv.in/file-facts/isros-xposat-satellite-to-study-black-holes-launched-know-its-specialty-4779078
NDTV,01/01/24,"""ऑस्ट्रेलियाई मानते थे लारा, सचिन से बेहतर थे लेकिन..."", पूर्व साउथ अफ्रीकी कप्तान के बयान ने मचाई हलचल",https://sports.ndtv.com/hindi/cricket/australians-believe-brian-lara-was-better-than-sachin-tendulkar-i-say-rubbish-says-ali-bacher-4779106
NDTV,01/01/24,Harmanpreet Kaur's Form With Bat In Focus As India Look To Salvage Pride In Final ODI vs Australia,https://sports.ndtv.com/cricket/harmanpreet-kaurs-form-with-bat-in-focus-as-india-look-to-salvage-pride-in-final-odi-vs-australia-4779107
NDTV,01/01/24,'Had Ashes Game At...': David Warner On His Initial Test Retirement Venue,https://sports.ndtv.com/cricket/had-ashes-game-at-david-warner-on-his-initial-test-retirement-venue-4779112
NDTV,01/01/24,"6 Killed, 2 Injured As Car Hits Divider, Roadside Pole In Jharkhand: Cops",https://www.ndtv.com/india-news/6-killed-2-injured-as-car-hits-divider-roadside-pole-in-jharkhand-cops-4779141
NDTV,01/01/24,Srinagar Shivers At Minus 5.2 Degrees As Severe Cold Grips Kashmir,https://www.ndtv.com/india-news/srinagar-shivers-at-minus-5-2-degrees-as-severe-cold-grips-kashmir-4779146
NDTV,01/01/24,"""Can't Consider Yourself Great Coach If..."": Justin Langer On How LSG Owner Convinced Him To Join Franchise",https://sports.ndtv.com/ipl-2024/cant-consider-yourself-great-coach-if-justin-langer-on-how-lsg-owner-convinced-him-to-join-franchise-4779148
NDTV,01/01/24,Grasim Shares Hit Record After Commissioning Additional Capacity At Gujarat Plant,https://www.ndtvprofit.com/buzzing-stocks/grasim-shares-hit-record-after-commissioning-additional-capacity-at-gujarat-plant
NDTV,01/01/24,"दिल्ली-NCR में साल के पहले दिन कोहरे और प्रदूषण की मार, देरी से चल रहीं 21 ट्रेनें",https://ndtv.in/india/fog-and-pollution-hit-delhi-ncr-on-the-first-day-of-the-year-21-trains-running-late-4779151
NDTV,01/01/24,"Influencer Asks Companies In Karnataka To Invest In Bihar, Sparks Meme Fest",https://www.ndtv.com/feature/influencer-asks-companies-in-karnataka-to-invest-in-bihar-sparks-meme-fest-4779187
NDTV,01/01/24,"iPhone 15 Series, iPads, MacBooks, Apple Watches Available at Discounted Prices at Vijay Sales Apple Days Sale",https://www.gadgets360.com/mobiles/news/iphone-15-plus-pro-max-13-ipad-air-macbook-airpods-apple-watch-series-9-vijay-sales-india-4779188
NDTV,01/01/24,"यहां नए साल का जश्न मना रहे युवाओं को पुलिस ने पिलाया दूध, करीब 1000 लीटर सर्व किया गया मिल्क",https://rajasthan.ndtv.in/rajasthan-news/police-served-milk-to-the-youth-celebrating-new-year-here-approx-1000-liters-of-milk-has-been-served-4779190
NDTV,01/01/24,"Poco X6 Series, Poco M6 Pro 4G Design Renders, Colour Options Leaked; Camera Details Tipped",https://www.gadgets360.com/mobiles/news/poco-x6-pro-series-india-launch-design-colour-options-m6-4g-global-expected-specifications-4779191
NDTV,01/01/24,"MP News: सीएम मोहन यादव नए साल पर देंगे बड़ा तोहफा, इस जिले को मिलेगी 182 करोड़ की सौगात",https://mpcg.ndtv.in/madhya-pradesh-news/madhya-pradesh-latest-news-cm-mohan-yadav-will-give-a-big-gift-on-new-year-to-khargone-he-will-inaugrate-and-put-mile-stones-of-rs-182-crore-worth-pro-4779192
NDTV,01/01/24,"""जिसकी हमें कमी खल रही है वो है सरफराज खान..."" , टीम इंडिया में शुभमन गिल की जगह को लेकर भड़के दिनेश कार्तिक",https://sports.ndtv.com/hindi/cricket/ind-vs-sa-1st-test-shubman-gill-is-a-big-question-mark-says-dinesh-karthik-sarfaraz-khan-and-rajat-patidar-4779193
